name,personId,postseason_games,reg_season_games,tour_date_postseason,tour_date_reg_season,tot_games,tot_tour_date_games,tot_tour_date_percent,postseason_tour_date_percent,reg_season_tour_date_percent
Tidjane Salaun,1642275,0,59,0,9,59,9,0.15254237288135594,NA,0.15254237288135594
Tim Hardaway Jr.,203501,6,77,3,16,83,19,0.2289156626506024,0.5,0.2077922077922078
Tobias Harris,202699,6,73,1,13,79,14,0.17721518987341772,0.16666666666666666,0.1780821917808219
Tolu Smith,1642449,0,1,0,0,1,0,0,NA,0
Tony Bradley,1628396,11,14,0,0,25,0,0,0,0
Torrey Craig,1628470,5,26,0,0,31,0,0,0,0
Tosan Evbuomwan,1641787,0,28,0,2,28,2,0.07142857142857142,NA,0.07142857142857142
Toumani Camara,1641739,0,78,0,13,78,13,0.16666666666666666,NA,0.16666666666666666
Trae Young,1629027,2,75,1,32,77,33,0.42857142857142855,0.5,0.4266666666666667
Trayce Jackson-Davis,1631218,9,62,0,1,71,1,0.014084507042253521,0,0.016129032258064516
Tre Jones,1630200,0,46,0,1,46,1,0.021739130434782608,NA,0.021739130434782608
Tre Mann,1630544,0,13,0,2,13,2,0.15384615384615385,NA,0.15384615384615385
Trendon Watford,1630570,0,44,0,2,44,2,0.045454545454545456,NA,0.045454545454545456
Trentyn Flowers,1642280,0,6,0,0,6,0,0,NA,0
Trevelin Queen,1630243,0,31,0,3,31,3,0.0967741935483871,NA,0.0967741935483871
Trey Alexander,1641725,0,24,0,1,24,1,0.041666666666666664,NA,0.041666666666666664
Trey Jemison III,1641998,0,38,0,0,38,0,0,NA,0
Trey Lyles,1626168,1,69,0,4,70,4,0.05714285714285714,0,0.057971014492753624
Trey Murphy III,1630530,0,53,0,17,53,17,0.32075471698113206,NA,0.32075471698113206
Tristan Thompson,202684,3,40,0,0,43,0,0,0,0
Tristan Vukcevic,1641774,0,34,0,3,34,3,0.08823529411764706,NA,0.08823529411764706
Tristan da Silva,1641783,3,73,0,8,76,8,0.10526315789473684,0,0.1095890410958904
Tristen Newton,1641803,0,8,0,0,8,0,0,NA,0
Ty Jerome,1629660,9,70,2,7,79,9,0.11392405063291139,0.2222222222222222,0.1
TyTy Washington Jr.,1631102,0,16,0,1,16,1,0.0625,NA,0.0625
Tyler Herro,1629639,6,77,3,19,83,22,0.26506024096385544,0.5,0.24675324675324675
Tyler Kolek,1642278,3,41,0,0,44,0,0,0,0
Tyler Smith,1641890,0,24,0,1,24,1,0.041666666666666664,NA,0.041666666666666664
Tyrese Haliburton,1630169,23,73,2,17,96,19,0.19791666666666666,0.08695652173913043,0.2328767123287671
Tyrese Martin,1631213,0,60,0,7,60,7,0.11666666666666667,NA,0.11666666666666667
Tyrese Maxey,1630178,0,52,0,16,52,16,0.3076923076923077,NA,0.3076923076923077
Tyson Etienne,1630623,0,7,0,1,7,1,0.14285714285714285,NA,0.14285714285714285
Tyus Jones,1626145,0,81,0,8,81,8,0.09876543209876543,NA,0.09876543209876543
Ulrich Chomche,1642279,0,7,0,0,7,0,0,NA,0
Vasilije Micic,203995,0,41,0,5,41,5,0.12195121951219512,NA,0.12195121951219512
Victor Wembanyama,1641705,0,46,0,8,46,8,0.17391304347826086,NA,0.17391304347826086
Vince Williams Jr.,1631246,5,27,0,2,32,2,0.0625,0,0.07407407407407407
Vit Krejci,1630249,2,56,0,1,58,1,0.017241379310344827,0,0.017857142857142856
Vlatko Cancar,1628427,3,13,0,0,16,0,0,0,0
Walker Kessler,1631117,0,57,0,3,57,3,0.05263157894736842,NA,0.05263157894736842
